"Item","Plat","Status"
"Sybaris Prime Set","29","Online"
"Maxima (Zetki)","29","Online"
"Nikana Prime Hilt","29","Online"
"Boltor Prime Blueprint","29","Online"
"Kavasa Prime Collar Set","29","Online"
"Meso F3 Intact","29","Online"
"Axi N2 Exceptional","29","Offline"
"Axi L1 Intact","29","Offline"
"Lith G2 Radiant","29","Offline"
"Xiphos Engines","29","Online"
"Glaive Prime Blueprint","29","Online"
"Final Act","29","Online"
"Voltaic Lance","29","Offline"
"Fiery Phoenix","29","Online"
"Neo T1 Radiant","29","Offline"
"Lith S3 Radiant","29","Offline"
"Blood for Energy","29","Online"
"Neo T2 Radiant","29","Offline"
"Rifle Riven Mod (Veiled)","29","Online"
"Axi V2 Exceptional","29","Offline"
"Wyrm Prime Carapace","29","Online"
"Speed Holster","29","Online"
"Redeemer Prime Handle","29","Online"
"Neo A3 Radiant","29","Offline"
"Primed Morphic Transformer","29","Online"
"Axi V8 Intact","29","Offline"
"Latron Wraith Set","29","Online"
"Axi A1 Exceptional","29","Offline"
"Neo N2 Radiant","29","Offline"
"Primed Ravage","29","Online"
"Vaykor Sydon","29","Online"
"Aerodynamic","29","Online"
"Ivara Prime Chassis","29","Online"
"Smeeta Kavat Imprint","29","Online"
"Companion Rifle Riven Mod (Veiled)","29","Online"
"Atlas Prime Neuroptics","29","Online"
"Limbo Prime Chassis","29","Online"
"Sancti Tigris","29","Online"
"Mirage Prime Blueprint","29","Online"
"Deceptive Bond","29","Offline"
"Ablative Shell (Vidar)","28","Online"
"Vauban Prime Neuroptics","28","Online"
"Elytron Wings","28","Offline"
"Zhuge Prime Set","28","Online"
"Electro Pulse","28","Online"
"Volt Prime Blueprint","28","Online"
"Power Donation","28","Online"
"Shedu Handle","28","Online"
"Shock Collar","27","Online"
"Rhino Prime Chassis","27","Online"
"Winged Storm (Zetki)","26","Online"
"Wukong Prime Systems","26","Online"
"Trinity Prime Blueprint","26","Online"
"Shedu Barrel","26","Online"
"Prism Guard","25","Buying"
"Recharge Barrier","25","Buying"
"Purging Slash","25","Buying"
"Rumbled","25","Buying"
"Defiled Reckoning","25","Buying"
"Push & Pull","25","Buying"
"Axi L1 Exceptional","25","Buying"
"Ward Recovery","25","Buying"
"Prize Kill","25","Buying"
"Discharge Strike","25","Buying"
"Purifying Flames","25","Buying"
"Countermeasures","24","Online"
"Rhino Prime Neuroptics","24","Online"
"Anticipation","24","Offline"
"Odomedic","24","Online"
"Axi G1 Radiant","24","Offline"
"Neo V8 Radiant","24","Online"
"Axi N4 Intact","24","Online"
"Fortuna Scene","24","Offline"
"Lith O2 Radiant","24","Online"
"Lith V1 Radiant","24","Offline"
"Reflex Draw","24","Online"
"Hikou Prime Pouch","24","Online"
"Axi V1 Intact","24","Online"
"Itzal Wings","24","Online"
"Broken War Hilt","24","Online"
"Charged Bullets","24","Online"
